"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"162","Hawaii","HI",7447.48,2192.99,0,4896,"U",2,13,-2,"Hot-Humid","Pacific",4,1,-2,-2,2,0,-2,5
"163","Maryland","MD",15199.48,1605.55,4464,1267,"U",3,11,-2,"Mixed-Humid","South Atlantic",5,1,1,2,3,-4,1,5
"164","Vermont","VT",3346.6,809.09,6609,845,"R",2,13,-2,"Cold","New England",6,1,4,1,4,-4,1,5
"165","Hawaii","HI",15026.49,1644.55,2,2986,"U",3,16,-2,"Hot-Humid","Pacific",2,1,4,-2,1,1,0,5
"166","Arkansas","AR",7940.44,966.19,3731,1455,"U",2,16,-2,"Mixed-Humid","West South Central",7,1,3,3,2,0,2,5
"167","Indiana","IN",14752.32,1701.16,5242,989,"U",2,16,-2,"Cold","East North Central",6,1,3,3,2,0,3,5
"168","North Dakota","ND",1256.7,394.5,8610,572,"C",4,6,-2,"Very-Cold","West North Central",2,1,4,2,0,0,1,5
"169","Tennessee","TN",5703.72,718.4,3472,1549,"U",5,13,-2,"Mixed-Humid","East South Central",8,2,3,3,2,0,2,4
"170","Vermont","VT",9099.49,1599.11,6671,827,"U",5,13,-2,"Cold","New England",1,1,1,1,3,-4,0,5
"171","Tennessee","TN",6893.8,758.13,2831,2011,"U",3,4,-2,"Mixed-Humid","East South Central",3,2,1,1,1,1,1,3
"172","Virginia","VA",14132.09,1766.52,3202,1643,"U",2,11,-2,"Mixed-Humid","South Atlantic",5,1,1,1,2,1,1,5
"173","Washington","WA",12485.77,1279.93,4421,231,"R",2,14,-2,"Marine","Pacific",9,1,2,1,4,-4,1,5
"174","Washington","WA",11150.75,1068.69,4742,259,"U",5,8,-2,"Marine","Pacific",4,2,4,2,3,0,1,5
"175","Louisiana","LA",16528.43,1619.68,738,3657,"U",2,14,-2,"Hot-Humid","West South Central",5,1,2,2,4,1,1,5
"176","Ohio","OH",10670.46,1239.86,4977,1122,"U",2,14,-2,"Cold","East North Central",7,1,1,1,0,-4,1,5
"177","Tennessee","TN",8433.04,1065.61,3466,1406,"U",2,14,-2,"Mixed-Humid","East South Central",7,1,1,1,2,0,2,5
"178","Wisconsin","WI",18446.03,2006.66,7604,625,"R",2,8,1,"Cold","East North Central",4,1,4,1,0,0,1,5
"179","Idaho","ID",17287.87,1715.33,8671,115,"R",2,13,-2,"Cold","Mountain North",6,1,4,1,3,1,2,5
